Year,Lower Bound,Single,Married Filing Seperately,Married Filing Jointly,Head of Household
1962,17198.066666666666,0.22,0.22,,0.21
1962,34396.13333333333,0.26,0.26,0.22,0.24
1962,51594.2,0.3,0.3,,0.26
1962,68792.26666666666,0.34,0.34,0.26,0.3
1962,85990.33333333333,0.38,0.38,,0.32
1962,103188.4,0.43,0.43,0.3,0.36
1962,120386.46666666666,0.47,0.47,,0.39
1962,137584.53333333333,0.5,0.5,0.34,0.42
1962,154782.6,0.53,0.53,,0.43
1962,171980.66666666666,0.56,0.56,0.38,0.47
1962,189178.73333333334,0.59,0.59,,0.49
1962,206376.8,,,0.43,0.52
1962,223574.86666666667,0.62,0.62,,
1962,240772.93333333332,,,0.47,0.54
1962,275169.06666666665,0.65,0.65,0.5,0.58
1962,309565.2,,,0.53,
1962,326763.26666666666,0.6900000000000001,0.6900000000000001,,0.62
1962,343961.3333333333,,,0.56,
1962,378357.4666666667,0.72,0.72,0.59,0.66
1962,429951.6666666667,0.75,0.75,,0.68
1962,447149.73333333334,,,0.62,
1962,515942.0,0.78,0.78,,0.71
1962,550338.1333333333,,,0.65,
1962,601932.3333333334,0.81,0.81,,0.74
1962,653526.5333333333,,,0.6900000000000001,
1962,687922.6666666666,0.84,0.84,,0.76
1962,756714.9333333333,,,0.72,
1962,773913.0,0.87,0.87,,0.8
1962,859903.3333333334,0.89,0.89,0.75,0.8300000000000001
1962,1031884.0,,,0.78,
1962,1203864.6666666667,,,0.81,
1962,1289855.0,0.9,0.9,,0.87
1962,1375845.3333333333,,,0.84,
1962,1547826.0,,,0.87,
1962,1719806.6666666667,0.91,0.91,0.89,0.9
1962,2579710.0,,,0.9,0.91
1962,3439613.3333333335,,,0.91,
1963,0.0,0.2,0.2,0.2,0.2
1963,16971.776315789473,0.22,0.22,,0.21
1963,33943.55263157895,0.26,0.26,0.22,0.24
1963,50915.32894736842,0.3,0.3,,0.26
1963,67887.1052631579,0.34,0.34,0.26,0.3
1963,84858.88157894737,0.38,0.38,,0.32
1963,101830.65789473684,0.43,0.43,0.3,0.36
1963,118802.43421052632,0.47,0.47,,0.39
1963,135774.2105263158,0.5,0.5,0.34,0.42
1963,152745.98684210528,0.53,0.53,,0.43
1963,169717.76315789475,0.56,0.56,0.38,0.47
1963,186689.5394736842,0.59,0.59,,0.49
1963,203661.31578947368,,,0.43,0.52
1963,220633.09210526317,0.62,0.62,,
1963,237604.86842105264,,,0.47,0.54
1963,271548.4210526316,0.65,0.65,0.5,0.58
1963,305491.97368421056,,,0.53,
1963,322463.75,0.6900000000000001,0.6900000000000001,,0.62
1963,339435.5263157895,,,0.56,
1963,373379.0789473684,0.72,0.72,0.59,0.66
1963,424294.40789473685,0.75,0.75,,0.68
1963,441266.18421052635,,,0.62,
1963,509153.2894736842,0.78,0.78,,0.71
1963,543096.8421052631,,,0.65,
1963,594012.1710526316,0.81,0.81,,0.74
1963,644927.5,,,0.6900000000000001,
1963,678871.052631579,0.84,0.84,,0.76
1963,746758.1578947369,,,0.72,
